!!SBtab TableID='ParamPrep' TableType='Quantity' TableName='Parameters_EqPrep' DocumentName=' Document=' Unit=' SBtabVersion='1.0' Date='2019-5-17'
!QuantityType	!Reaction:SBML:reaction:id	!Enzyme:Identifiers:ec-code	!Compound:SBML:species:id	!Name	!Mean	!Std	!Unit	!Min	!Max	!Organism	!Description
concentration			M_arg__L_c	L-arginine	1.27		mM				Maier 2013
concentration			M_pro__L_c	L-proline	1.16		mM				Maier 2013
concentration			M_asn__L_c	L-asparagine	0.45		mM				Maier 2013
concentration			M_met__L_c	L-methionine	0.41		mM				Maier 2013
concentration			M_gln__L_c	L-glutamine	0.26		mM				Maier 2013
concentration			M_lys__L_c	L-lysine	0.82		mM				Maier 2013
concentration			M_his__L_c	L-histidine	0.41		mM				Maier 2013
concentration			M_cys__L_c	L-cysteine	0.12		mM				Maier 2013
concentration			M_tyr__L_c	L-tyrosine	0.18		mM				Maier 2013
concentration			M_trp__L_c	L-tryptophan	0.21		mM				Maier 2013
concentration			M_atp_c	ATP	1		mM				Mitchell 1979 and Neale 1983 (Marian’s conversion) [2nd value]
concentration			M_gtp_c	GTP	0.66		mM				Mitchell 1979 and Neale 1983 (Marian’s conversion)
concentration			M_utp_c	UTP	0.66		mM				Mitchell 1979 and Neale 1983 (Marian’s conversion)
concentration			M_ctp_c	CTP	0.33		mM				Mitchell 1979 and Neale 1983 (Marian’s conversion)
concentration			M_dgtp_c	dATP	0.017		mM				Mitchell 1979 and Neale 1983 (Marian’s conversion)
concentration			M_dgtp_c	dGTP	0.007		mM				Mitchell 1979 and Neale 1983 (Marian’s conversion)
concentration			M_dttp_c	dTTP	0.021		mM				Mitchell 1979 and Neale 1983 (Marian’s conversion)
concentration			M_dctp_c	dCTP	0.012		mM				Mitchell 1979 and Neale 1983 (Marian’s conversion)
substrate catalytic rate constant	R_LDH_L	1.1.1.27			40.0		1/s			Plasmodium falciparum	BRENDA LIT: 686655; Filo Dist: 4.172
substrate catalytic rate constant	R_LDH_L	1.1.1.27			65.0		1/s			Plasmodium falciparum	BRENDA LIT: 654758; Filo Dist: 4.172
substrate catalytic rate constant	R_LDH_L	1.1.1.27			6e-05		1/s			Cryptosporidium parvum	BRENDA LIT: 740541; Filo Dist: 4.139
substrate catalytic rate constant	R_LDH_L	1.1.1.27			6.9		1/s			Anas platyrhynchos	BRENDA LIT: 286471; Filo Dist: 5.0
substrate catalytic rate constant	R_LDH_L	1.1.1.27			3.3		1/s			Gallus gallus	BRENDA LIT: 286471; Filo Dist: 4.101
substrate catalytic rate constant	R_LDH_L	1.1.1.27			60.0		1/s			Gallus gallus	BRENDA LIT: 286471; Filo Dist: 4.101
substrate catalytic rate constant	R_LDH_L	1.1.1.27			12.33		1/s			Plasmodium vivax	BRENDA LIT: 654758; Filo Dist: 4.172
substrate catalytic rate constant	R_LDH_L	1.1.1.27			32.0		1/s			Geobacillus stearothermophilus	BRENDA LIT: 670748; Filo Dist: 1.5
substrate catalytic rate constant	R_LDH_L	1.1.1.27			25.0		1/s			Plasmodium ovale	BRENDA LIT: 654758; Filo Dist: 4.172
substrate catalytic rate constant	R_LDH_L	1.1.1.27			38.33		1/s			Plasmodium malariae	BRENDA LIT: 654758; Filo Dist: 4.172
product catalytic rate constant	R_LDH_L	1.1.1.27			94.0		1/s			Plasmodium falciparum	BRENDA LIT: 656750; Filo Dist: 4.172
product catalytic rate constant	R_LDH_L	1.1.1.27			96.0		1/s			Plasmodium falciparum	BRENDA LIT: 686655; Filo Dist: 4.172
product catalytic rate constant	R_LDH_L	1.1.1.27			96.0		1/s			Plasmodium falciparum	BRENDA LIT: 686655; Filo Dist: 4.172
product catalytic rate constant	R_LDH_L	1.1.1.27			148.3		1/s			Plasmodium falciparum	BRENDA LIT: 654758; Filo Dist: 4.172
product catalytic rate constant	R_LDH_L	1.1.1.27			148.3		1/s			Plasmodium falciparum	BRENDA LIT: 654758; Filo Dist: 4.172
product catalytic rate constant	R_LDH_L	1.1.1.27			180.0		1/s			Plasmodium falciparum	BRENDA LIT: 286458; Filo Dist: 4.172
product catalytic rate constant	R_LDH_L	1.1.1.27			0.00208		1/s			Cryptosporidium parvum	BRENDA LIT: 740541; Filo Dist: 4.139
product catalytic rate constant	R_LDH_L	1.1.1.27			0.00209		1/s			Cryptosporidium parvum	BRENDA LIT: 740541; Filo Dist: 4.139
product catalytic rate constant	R_LDH_L	1.1.1.27			204.0		1/s			Anas platyrhynchos	BRENDA LIT: 286471; Filo Dist: 5.0
product catalytic rate constant	R_LDH_L	1.1.1.27			126.7		1/s			Plasmodium vivax	BRENDA LIT: 654758; Filo Dist: 4.172
product catalytic rate constant	R_LDH_L	1.1.1.27			126.7		1/s			Plasmodium vivax	BRENDA LIT: 654758; Filo Dist: 4.172
product catalytic rate constant	R_LDH_L	1.1.1.27			21.1		1/s			Geobacillus stearothermophilus	BRENDA LIT: 684519; Filo Dist: 1.5
product catalytic rate constant	R_LDH_L	1.1.1.27			250.0		1/s			Geobacillus stearothermophilus	BRENDA LIT: 689763; Filo Dist: 1.5
product catalytic rate constant	R_LDH_L	1.1.1.27			327.2		1/s			Geobacillus stearothermophilus	BRENDA LIT: 684519; Filo Dist: 1.5
product catalytic rate constant	R_LDH_L	1.1.1.27			266.7		1/s			Plasmodium ovale	BRENDA LIT: 654758; Filo Dist: 4.172
product catalytic rate constant	R_LDH_L	1.1.1.27			266.7		1/s			Plasmodium ovale	BRENDA LIT: 654758; Filo Dist: 4.172
product catalytic rate constant	R_LDH_L	1.1.1.27			125.0		1/s			Plasmodium malariae	BRENDA LIT: 654758; Filo Dist: 4.172
product catalytic rate constant	R_LDH_L	1.1.1.27			125.0		1/s			Plasmodium malariae	BRENDA LIT: 654758; Filo Dist: 4.172
product catalytic rate constant	R_LDH_L	1.1.1.27			106.0		1/s			Plasmodium berghei	BRENDA LIT: 656750; Filo Dist: 4.172
product catalytic rate constant	R_LDH_L	1.1.1.27			142.0		1/s			Rhizopus delemar	BRENDA LIT: 697662; Filo Dist: 5.0
product catalytic rate constant	R_LDH_L	1.1.1.27			154.0		1/s			Rhizopus delemar	BRENDA LIT: 697662; Filo Dist: 5.0
product catalytic rate constant	R_LDH_L	1.1.1.27			298.0		1/s			Rhizopus delemar	BRENDA LIT: 697662; Filo Dist: 5.0
product catalytic rate constant	R_LDH_L	1.1.1.27			350.0		1/s			Rhizopus delemar	BRENDA LIT: 697662; Filo Dist: 5.0
product catalytic rate constant	R_LDH_L	1.1.1.27			170.7		1/s			Oryctolagus cuniculus	BRENDA LIT: 741355; Filo Dist: 5.0
product catalytic rate constant	R_LDH_L	1.1.1.27			276.5		1/s			Oryctolagus cuniculus	BRENDA LIT: 741355; Filo Dist: 5.0
product catalytic rate constant	R_LDH_L	1.1.1.27			197.0		1/s			Rhizopus oryzae NRRL 395	BRENDA LIT: 697662; Filo Dist: 5.0
product catalytic rate constant	R_LDH_L	1.1.1.27			244.0		1/s			Rhizopus oryzae NRRL 395	BRENDA LIT: 697662; Filo Dist: 5.0
product catalytic rate constant	R_LDH_L	1.1.1.27			318.0		1/s			Rhizopus oryzae NRRL 395	BRENDA LIT: 697662; Filo Dist: 5.0
product catalytic rate constant	R_LDH_L	1.1.1.27			320.0		1/s			Rhizopus oryzae NRRL 395	BRENDA LIT: 697662; Filo Dist: 5.0
product catalytic rate constant	R_LDH_L	1.1.1.27			216.7		1/s			Babesia bovis	BRENDA LIT: 656752; Filo Dist: 5.0
product catalytic rate constant	R_LDH_L	1.1.1.27			230.0		1/s			Champsocephalus gunnari	BRENDA LIT: 688389; Filo Dist: 5.0
product catalytic rate constant	R_LDH_L	1.1.1.27			643.0		1/s			Lactobacillus helveticus	BRENDA LIT: 286470; Filo Dist: 1.05
product catalytic rate constant	R_LDH_L	1.1.1.27			676.0		1/s			Thermus thermophilus	BRENDA LIT: 688389; Filo Dist: 1.421
product catalytic rate constant	R_LDH_L	1.1.1.27			884.0		1/s			Deinococcus radiodurans	BRENDA LIT: 688389; Filo Dist: 1.453
product catalytic rate constant	R_LDH_L	1.1.1.27			1300.0		1/s			Enterococcus mundtii	BRENDA LIT: 740460; Filo Dist: 0.891
product catalytic rate constant	R_LDH_L	1.1.1.27			1500.0		1/s			Enterococcus mundtii	BRENDA LIT: 740460; Filo Dist: 0.891
product catalytic rate constant	R_LDH_L	1.1.1.27			1600.0		1/s			Enterococcus mundtii	BRENDA LIT: 740460; Filo Dist: 0.891
product catalytic rate constant	R_LDH_L	1.1.1.27			2330.0		1/s			Homarus americanus	BRENDA LIT: 286437; Filo Dist: 5.0
substrate catalytic rate constant	R_GAPD	1.2.1.12			65.0		1/s			Geobacillus stearothermophilus	BRENDA LIT: 654653; Filo Dist: 1.5
substrate catalytic rate constant	R_GAPD	1.2.1.12			70.0		1/s			Geobacillus stearothermophilus	BRENDA LIT: 287947; Filo Dist: 1.5
substrate catalytic rate constant	R_GAPD	1.2.1.12			70.0		1/s			Staphylococcus aureus	BRENDA LIT: 712766; Filo Dist: 0.909
substrate catalytic rate constant	R_GAPD	1.2.1.12			122.2		1/s			Oryza sativa	BRENDA LIT: 726190; Filo Dist: 4.052
substrate catalytic rate constant	R_GAPD	1.2.1.12			122.0		1/s			Oryza sativa Japonica Group	BRENDA LIT: 726190; Filo Dist: 4.052
substrate catalytic rate constant	R_GAPD	1.2.1.12			6.45		1/s			Corynebacterium glutamicum	BRENDA LIT: 740949; Filo Dist: 1.474
substrate catalytic rate constant	R_GAPD	1.2.1.12			6.45		1/s			Corynebacterium glutamicum	BRENDA LIT: 743222; Filo Dist: 1.474
substrate catalytic rate constant	R_GAPD	1.2.1.12			24.51		1/s			Neisseria meningitidis	BRENDA LIT: 688953; Filo Dist: 1.452
substrate catalytic rate constant	R_GAPD	1.2.1.12			9.1		1/s			Saccharomyces cerevisiae	BRENDA LIT: 733890; Filo Dist: 4.245
substrate catalytic rate constant	R_GAPD	1.2.1.12			16.0		1/s			Saccharomyces cerevisiae	BRENDA LIT: 733890; Filo Dist: 4.245
substrate catalytic rate constant	R_GAPD	1.2.1.12			16.7		1/s			Saccharomyces cerevisiae	BRENDA LIT: 287937; Filo Dist: 4.245
substrate catalytic rate constant	R_GAPD	1.2.1.12			29.0		1/s			Saccharomyces cerevisiae	BRENDA LIT: 733890; Filo Dist: 4.245
substrate catalytic rate constant	R_GAPD	1.2.1.12			50.0		1/s			Spinacia oleracea	BRENDA LIT: 287935; Filo Dist: 5.0
substrate catalytic rate constant	R_GAPD	1.2.1.12			70.0		1/s			Lactococcus lactis	BRENDA LIT: 712937; Filo Dist: 1.013
substrate catalytic rate constant	R_GAPD	1.2.1.12			199.0		1/s			Homo sapiens	BRENDA LIT: 724223; Filo Dist: 4.097
substrate catalytic rate constant	R_GAPD	1.2.1.12			199.0		1/s			Homo sapiens	BRENDA LIT: 724223; Filo Dist: 4.097
substrate catalytic rate constant	R_GAPD	1.2.1.12			234.0		1/s			Homo sapiens	BRENDA LIT: 724223; Filo Dist: 4.097
product catalytic rate constant	R_GAPD	1.2.1.12			73.56		1/s			Oryza sativa	BRENDA LIT: 726190; Filo Dist: 4.052
product catalytic rate constant	R_GAPD	1.2.1.12			73.6		1/s			Oryza sativa Japonica Group	BRENDA LIT: 726190; Filo Dist: 4.052
substrate catalytic rate constant	R_GAPDP	1.2.1.9			60.0		1/s			Streptococcus mutans	BRENDA LIT: 656082; Filo Dist: 1.013
substrate catalytic rate constant	R_PDH_E1	1.2.4.1			0.05		1/s			Pseudomonas putida	BRENDA LIT: 736649; Filo Dist: 1.429
substrate catalytic rate constant	R_PDH_E1	1.2.4.1			0.077		1/s			Homo sapiens	BRENDA LIT: 672086; Filo Dist: 4.097
substrate catalytic rate constant	R_PDH_E1	1.2.4.1			66.1		1/s			Homo sapiens	BRENDA LIT: 674778; Filo Dist: 4.097
substrate catalytic rate constant	R_PDH_E1	1.2.4.1			69.9		1/s			Homo sapiens	BRENDA LIT: 674778; Filo Dist: 4.097
substrate catalytic rate constant	R_PDH_E1	1.2.4.1			37.9		1/s			Escherichia coli	BRENDA LIT: 687613; Filo Dist: 1.512
substrate catalytic rate constant	R_PDH_E1	1.2.4.1			0.48		1/s			Geobacillus stearothermophilus	BRENDA LIT: 655474; Filo Dist: 1.5
substrate catalytic rate constant	R_PDH_E1	1.2.4.1			0.48		1/s			Geobacillus stearothermophilus	BRENDA LIT: 735664; Filo Dist: 1.5
substrate catalytic rate constant	R_PDH_E1	1.2.4.1			486.0		1/s			Zymomonas mobilis	BRENDA LIT: 666806; Filo Dist: 2.5
substrate catalytic rate constant	R_MTHFD	1.5.1.5			3.2					Homo sapiens	BRENDA LIT: 392333; Filo Dist: 4.097
substrate catalytic rate constant	R_MTHFD	1.5.1.5			3.8					Homo sapiens	BRENDA LIT: 392333; Filo Dist: 4.097
substrate catalytic rate constant	R_MTHFD	1.5.1.5			9.4					Homo sapiens	BRENDA LIT: 392333; Filo Dist: 4.097
substrate catalytic rate constant	R_MTHFD	1.5.1.5			10.0					Homo sapiens	BRENDA LIT: 392333; Filo Dist: 4.097
substrate catalytic rate constant	R_MTHFD	1.5.1.5			10.0					Leishmania major	BRENDA LIT: 700281; Filo Dist: 4.102
substrate catalytic rate constant	R_MTHFD	1.5.1.5			14.0					Leishmania major	BRENDA LIT: 700281; Filo Dist: 4.102
substrate catalytic rate constant	R_MTHFD	1.5.1.5			14.0					Leishmania major	BRENDA LIT: 700281; Filo Dist: 4.102
substrate catalytic rate constant	R_MTHFD	1.5.1.5			113.0					Photobacterium phosphoreum	BRENDA LIT: 209738; Filo Dist: 1.502
substrate catalytic rate constant	R_NOX	1.6.3.4			43.4		1/s			Lactobacillus pentosus	BRENDA LIT: 744974; Filo Dist: 1.05
substrate catalytic rate constant	R_PDH_E3	1.8.1.4			574.0		1/s			Homo sapiens	BRENDA LIT: 394004; Filo Dist: 4.097
substrate catalytic rate constant	R_PDH_E3	1.8.1.4			899.0		1/s			Homo sapiens	BRENDA LIT: 743050; Filo Dist: 4.097
substrate catalytic rate constant	R_PDH_E3	1.8.1.4			899.0		1/s			Homo sapiens	BRENDA LIT: 743051; Filo Dist: 4.097
substrate catalytic rate constant	R_PDH_E3	1.8.1.4			899.0		1/s			Homo sapiens	BRENDA LIT: 743052; Filo Dist: 4.097
substrate catalytic rate constant	R_PDH_E3	1.8.1.4			110.0		1/s			Plasmodium falciparum	BRENDA LIT: 742126; Filo Dist: 4.172
substrate catalytic rate constant	R_PDH_E3	1.8.1.4			135.5		1/s			Plasmodium falciparum	BRENDA LIT: 656835; Filo Dist: 4.172
substrate catalytic rate constant	R_PDH_E3	1.8.1.4			160.0		1/s			Streptococcus pneumoniae	BRENDA LIT: 693005; Filo Dist: 0.988
substrate catalytic rate constant	R_PDH_E3	1.8.1.4			223.0		1/s			Streptococcus pneumoniae	BRENDA LIT: 693005; Filo Dist: 0.988
substrate catalytic rate constant	R_PDH_E3	1.8.1.4			506.0		1/s			Streptococcus pneumoniae	BRENDA LIT: 693005; Filo Dist: 0.988
product catalytic rate constant	R_PDH_E3	1.8.1.4			340.0		1/s			Homo sapiens	BRENDA LIT: 394004; Filo Dist: 4.097
product catalytic rate constant	R_PDH_E3	1.8.1.4			77.8		1/s			Plasmodium falciparum	BRENDA LIT: 742126; Filo Dist: 4.172
product catalytic rate constant	R_PDH_E3	1.8.1.4			448.0		1/s			Plasmodium falciparum	BRENDA LIT: 656835; Filo Dist: 4.172
product catalytic rate constant	R_GHMT	2.1.2.1			0.07					Oryctolagus cuniculus	BRENDA LIT: 671589; Filo Dist: 5.0
product catalytic rate constant	R_GHMT	2.1.2.1			10.0					Oryctolagus cuniculus	BRENDA LIT: 658083; Filo Dist: 5.0
product catalytic rate constant	R_GHMT	2.1.2.1			10.5					Oryctolagus cuniculus	BRENDA LIT: 441423; Filo Dist: 5.0
product catalytic rate constant	R_GHMT	2.1.2.1			14.2					Oryctolagus cuniculus	BRENDA LIT: 441423; Filo Dist: 5.0
product catalytic rate constant	R_GHMT	2.1.2.1			5.0					Escherichia coli	BRENDA LIT: 659237; Filo Dist: 1.512
product catalytic rate constant	R_GHMT	2.1.2.1			5.0					Escherichia coli	BRENDA LIT: 659237; Filo Dist: 1.512
product catalytic rate constant	R_GHMT	2.1.2.1			10.7					Escherichia coli	BRENDA LIT: 441412; Filo Dist: 1.512
product catalytic rate constant	R_GHMT	2.1.2.1			11.4					Escherichia coli	BRENDA LIT: 703634; Filo Dist: 1.512
product catalytic rate constant	R_GHMT	2.1.2.1			13.17					Escherichia coli	BRENDA LIT: 736646; Filo Dist: 1.512
product catalytic rate constant	R_GHMT	2.1.2.1			640.0					Escherichia coli	BRENDA LIT: 718984; Filo Dist: 1.512
product catalytic rate constant	R_GHMT	2.1.2.1			1.29					Trichomonas vaginalis	BRENDA LIT: 673412; Filo Dist: 5.0
product catalytic rate constant	R_GHMT	2.1.2.1			1.3					Trichomonas vaginalis	BRENDA LIT: 673412; Filo Dist: 5.0
product catalytic rate constant	R_GHMT	2.1.2.1			4.1					Ovis aries	BRENDA LIT: 441430; Filo Dist: 5.0
product catalytic rate constant	R_GHMT	2.1.2.1			4.2					Ovis aries	BRENDA LIT: 658892; Filo Dist: 5.0
product catalytic rate constant	R_GHMT	2.1.2.1			4.2					Ovis aries	BRENDA LIT: 441428; Filo Dist: 5.0
product catalytic rate constant	R_GHMT	2.1.2.1			0.04					Homo sapiens	BRENDA LIT: 671589; Filo Dist: 4.097
product catalytic rate constant	R_GHMT	2.1.2.1			2.0					Homo sapiens	BRENDA LIT: 736084; Filo Dist: 4.097
product catalytic rate constant	R_GHMT	2.1.2.1			9.58					Homo sapiens	BRENDA LIT: 441421; Filo Dist: 4.097
product catalytic rate constant	R_GHMT	2.1.2.1			15.0					Homo sapiens	BRENDA LIT: 736084; Filo Dist: 4.097
product catalytic rate constant	R_GHMT	2.1.2.1			0.16					Plasmodium falciparum	BRENDA LIT: 705603; Filo Dist: 4.172
product catalytic rate constant	R_GHMT	2.1.2.1			0.43					Plasmodium falciparum	BRENDA LIT: 705602; Filo Dist: 4.172
product catalytic rate constant	R_GHMT	2.1.2.1			0.74					Plasmodium falciparum	BRENDA LIT: 705602; Filo Dist: 4.172
product catalytic rate constant	R_GHMT	2.1.2.1			0.98					Plasmodium vivax	BRENDA LIT: 703653; Filo Dist: 4.172
product catalytic rate constant	R_GHMT	2.1.2.1			0.98					Plasmodium vivax	BRENDA LIT: 703653; Filo Dist: 4.172
product catalytic rate constant	R_GHMT	2.1.2.1			1.09					Plasmodium vivax	BRENDA LIT: 736499; Filo Dist: 4.172
product catalytic rate constant	R_GHMT	2.1.2.1			3.53					Methanocaldococcus jannaschii	BRENDA LIT: 659269; Filo Dist: 6.0
product catalytic rate constant	R_GHMT	2.1.2.1			3.6					Geobacillus stearothermophilus	BRENDA LIT: 441432; Filo Dist: 1.5
product catalytic rate constant	R_GHMT	2.1.2.1			4.3					Geobacillus stearothermophilus	BRENDA LIT: 441432; Filo Dist: 1.5
product catalytic rate constant	R_GHMT	2.1.2.1			5.0					Geobacillus stearothermophilus	BRENDA LIT: 441432; Filo Dist: 1.5
product catalytic rate constant	R_GHMT	2.1.2.1			5.85					Danio rerio	BRENDA LIT: 676954; Filo Dist: 4.132
product catalytic rate constant	R_GHMT	2.1.2.1			9.25					Psychromonas ingrahamii	BRENDA LIT: 736646; Filo Dist: 2.5
product catalytic rate constant	R_GHMT	2.1.2.1			15.8					Arabidopsis thaliana	BRENDA LIT: 718775; Filo Dist: 4.069
substrate catalytic rate constant	R_FMETTRS	2.1.2.9			0.2					Escherichia coli	BRENDA LIT: 485812; Filo Dist: 1.512
substrate catalytic rate constant	R_FMETTRS	2.1.2.9			13.9					Escherichia coli	BRENDA LIT: 485810; Filo Dist: 1.512
substrate catalytic rate constant	R_FMETTRS	2.1.2.9			20.0					Escherichia coli	BRENDA LIT: 485795; Filo Dist: 1.512
substrate catalytic rate constant	R_FMETTRS	2.1.2.9			20.0					Escherichia coli	BRENDA LIT: 485797; Filo Dist: 1.512
substrate catalytic rate constant	R_FMETTRS	2.1.2.9			37.3					Escherichia coli	BRENDA LIT: 485812; Filo Dist: 1.512
substrate catalytic rate constant	R_FMETTRS	2.1.2.9			39.1					Escherichia coli	BRENDA LIT: 485811; Filo Dist: 1.512
substrate catalytic rate constant	R_FMETTRS	2.1.2.9			41.5					Escherichia coli	BRENDA LIT: 485809; Filo Dist: 1.512
substrate catalytic rate constant	R_FMETTRS	2.1.2.9			0.93					Bos taurus	BRENDA LIT: 485808; Filo Dist: 5.0
substrate catalytic rate constant	R_FMETTRS	2.1.2.9			0.13					Saccharomyces cerevisiae	BRENDA LIT: 485813; Filo Dist: 4.245
substrate catalytic rate constant	R_FMETTRS	2.1.2.9			11.3					Haemophilus influenzae	BRENDA LIT: 485814; Filo Dist: 1.55
product catalytic rate constant	R_TKT1	2.2.1.1			0.63		1/s			Saccharomyces cerevisiae	BRENDA LIT: 658678; Filo Dist: 4.245
product catalytic rate constant	R_TKT2	2.2.1.1			0.63		1/s			Saccharomyces cerevisiae	BRENDA LIT: 658678; Filo Dist: 4.245
product catalytic rate constant	R_TKT1	2.2.1.1			0.8		1/s			Saccharomyces cerevisiae	BRENDA LIT: 486018; Filo Dist: 4.245
product catalytic rate constant	R_TKT2	2.2.1.1			0.8		1/s			Saccharomyces cerevisiae	BRENDA LIT: 486018; Filo Dist: 4.245
product catalytic rate constant	R_TKT1	2.2.1.1			5.0		1/s			Saccharomyces cerevisiae	BRENDA LIT: 658678; Filo Dist: 4.245
product catalytic rate constant	R_TKT2	2.2.1.1			5.0		1/s			Saccharomyces cerevisiae	BRENDA LIT: 658678; Filo Dist: 4.245
product catalytic rate constant	R_TKT1	2.2.1.1			45.0		1/s			Saccharomyces cerevisiae	BRENDA LIT: 658678; Filo Dist: 4.245
product catalytic rate constant	R_TKT2	2.2.1.1			45.0		1/s			Saccharomyces cerevisiae	BRENDA LIT: 658678; Filo Dist: 4.245
product catalytic rate constant	R_TKT1	2.2.1.1			46.0		1/s			Saccharomyces cerevisiae	BRENDA LIT: 486018; Filo Dist: 4.245
product catalytic rate constant	R_TKT2	2.2.1.1			46.0		1/s			Saccharomyces cerevisiae	BRENDA LIT: 486018; Filo Dist: 4.245
product catalytic rate constant	R_TKT1	2.2.1.1			56.7		1/s			Saccharomyces cerevisiae	BRENDA LIT: 485991; Filo Dist: 4.245
product catalytic rate constant	R_TKT2	2.2.1.1			56.7		1/s			Saccharomyces cerevisiae	BRENDA LIT: 485991; Filo Dist: 4.245
product catalytic rate constant	R_TKT1	2.2.1.1			0.0148		1/s			Spinacia oleracea	BRENDA LIT: 2239; Filo Dist: 5.0
product catalytic rate constant	R_TKT2	2.2.1.1			0.0148		1/s			Spinacia oleracea	BRENDA LIT: 2239; Filo Dist: 5.0
product catalytic rate constant	R_TKT1	2.2.1.1			3.1		1/s			Homo sapiens	BRENDA LIT: 719890; Filo Dist: 4.097
product catalytic rate constant	R_TKT2	2.2.1.1			3.1		1/s			Homo sapiens	BRENDA LIT: 719890; Filo Dist: 4.097
product catalytic rate constant	R_TKT1	2.2.1.1			6.3		1/s			Homo sapiens	BRENDA LIT: 719890; Filo Dist: 4.097
product catalytic rate constant	R_TKT2	2.2.1.1			6.3		1/s			Homo sapiens	BRENDA LIT: 719890; Filo Dist: 4.097
product catalytic rate constant	R_TKT1	2.2.1.1			8.4		1/s			Leishmania mexicana	BRENDA LIT: 657847; Filo Dist: 4.102
product catalytic rate constant	R_TKT2	2.2.1.1			8.4		1/s			Leishmania mexicana	BRENDA LIT: 657847; Filo Dist: 4.102
substrate catalytic rate constant	R_TALA	2.2.1.2			13.0		1/s			Escherichia coli	BRENDA LIT: 719298; Filo Dist: 1.512
product catalytic rate constant	R_TALA	2.2.1.2			4.9		1/s			Blastobotrys adeninivorans	BRENDA LIT: 671553; Filo Dist: 5.0
substrate catalytic rate constant	R_PDH_E2	2.3.1.12			2.4		1/s			Azotobacter vinelandii	BRENDA LIT: 486228; Filo Dist: 2.5
substrate catalytic rate constant	R_PTAr	2.3.1.8			1500.0		1/s			Methanosarcina thermophila	BRENDA LIT: 674263; Filo Dist: 4.153
substrate catalytic rate constant	R_PTAr	2.3.1.8			4500.0		1/s			Methanosarcina thermophila	BRENDA LIT: 657448; Filo Dist: 4.153
substrate catalytic rate constant	R_PTAr	2.3.1.8			29.6		1/s			Escherichia coli	BRENDA LIT: 719451; Filo Dist: 1.512
