parName,parVal,unit,FormKey,ReactionID,Observation
Nucleobase Transport Km 2,0.009,mM,Km_R_URAt2,Explicit,Added by TB
Nucleobase Transport Km 3,0.009,mM,Km_R_GUAt2,Explicit,Added by TB
Nucleobase Transport Kcat 1,9686.51667,1/s,Kcat_R_ADEt2,Explicit,Added by TB
Nucleobase Transport Kcat 2,9686.51667,1/s,Kcat_R_URAt2,Explicit,Added by TB
Nucleobase Transport Kcat 3,9686.51667,1/s,Kcat_R_GUAt2,Explicit,Added by TB
Nucleobase Transporter,0.00024793,mM,M_Nb_psymTrans_c,Explicit,Added by TB
Nucleobase Media Conc 1,0.15,mM,M_ade_e,Explicit,Added by TB
Nucleobase Media Conc 2,0.18,mM,M_ura_e,Explicit,Added by TB
Nucleobase Media Conc 3,0.13,mM,M_gua_e,Explicit,Added by TB
Nucleoside Media Conc 1,0.1,mM,M_cytd_e,Explicit,Added by TB
Nucleoside Media Conc 2,0.1,mM,M_dcyt_e,Explicit,Added by TB
Nucleoside Media Conc 3,0.15,mM,M_adn_e,Explicit,Added by TB
Nucleoside Media Conc 4,0.15,mM,M_dad_2_e,Explicit,Added by TB
Nucleoside Media Conc 5,0.13,mM,M_gsn_e,Explicit,Added by TB
Nucleoside Media Conc 6,0.13,mM,M_dgsn_e,Explicit,Added by TB
Nucleoside Media Conc 7,0.18,mM,M_uri_e,Explicit,Added by TB
Nucleoside Media Conc 8,0.18,mM,M_duri_e,Explicit,Added by TB
Nucleoside Media Conc 9,0.08,mM,M_thymd_e,Explicit,Added by TB
Inhibit Const 1,0.05,mM,Ki_ADEt2,Explicit,Added by TB
Inhibit Const 2,0.05,mM,Ki_GUAt2,Explicit,Added by TB
Inhibit Const 3,0.05,mM,Ki_URAt2,Explicit,Added by TB
Inhibit Const 4,0.05,mM,Ki_ADNabc,Explicit,Added by TB
Inhibit Const 5,0.05,mM,Ki_DADNabc,Explicit,Added by TB
Inhibit Const 6,0.05,mM,Ki_GSNabc,Explicit,Added by TB
Inhibit Const 7,0.05,mM,Ki_DGSNabc,Explicit,Added by TB
Inhibit Const 8,0.05,mM,Ki_DCYTabc,Explicit,Added by TB
Inhibit Const 9,0.05,mM,Ki_THMDabc,Explicit,Added by TB
Inhibit Const 10,0.05,mM,Ki_DURIabc,Explicit,Added by TB
NucleotideTransport Rate 1,0,mM/s,Krate_R_CYTDabc,Explicit,Added by TB
NucleotideTransport Rate 2,0.00054112,mM/s,Krate_R_DCYTabc,Explicit,Added by TB
NucleotideTransport Rate 3,0,mM/s,Krate_R_URIabc,Explicit,Added by TB
NucleotideTransport Rate 4,0.00054112,mM/s,Krate_R_DURIabc,Explicit,Added by TB
NucleotideTransport Rate 5,0.005,mM/s,Krate_R_THMDabc,Explicit,Added by TB
NucleotideTransport Rate 6,0.01085848,mM/s,Krate_R_ADNabc,Explicit,Added by TB
NucleotideTransport Rate 7,0.00525264,mM/s,Krate_R_DADNabc,Explicit,Added by TB
NucleotideTransport Rate 8,0.00605133,mM/s,Krate_R_GSNabc,Explicit,Added by TB
NucleotideTransport Rate 9,0.00032963,mM/s,Krate_R_DGSNabc,Explicit,Added by TB
NucleotideTransport Rate 10,0,mM/s,Krate_R_ADEt2,Explicit,Added by TB
NucleotideTransport Rate 11,0,mM/s,Krate_R_GUAt2,Explicit,Added by TB
NucleotideTransport Rate 12,0.01695094,mM/s,Krate_R_URAt2,Explicit,Added by TB
